,donorID,donated,probability
0,100001,1.0,0.5977793913499478
1,100003,0.0,0.10945097498941596
2,100004,1.0,0.7260465204266654
3,100006,1.0,0.514623734899648
4,100009,1.0,0.581250424787603
5,100011,1.0,0.5378938428576006
6,100012,1.0,0.5078526902358309
7,100013,1.0,0.598183011017436
8,100014,0.0,0.15966537289922852
9,100016,0.0,0.19097253288012161
10,100017,0.0,0.3433835935078037
11,100018,0.0,0.3928046655181646
12,100019,0.0,0.33298443933878397
13,100020,0.0,0.2872082224373539
14,100023,0.0,0.36299906742740284
15,100026,0.0,0.4680020718579246
16,100027,1.0,0.6559037313080178
17,100029,0.0,0.2773126958210595
18,100031,0.0,0.3452443269684561
19,100032,0.0,0.22045887872392667
20,100033,0.0,0.14592682359227857
21,100038,1.0,0.5224770850197737
22,100039,0.0,0.4477660890249462
23,100040,0.0,0.2599982714474256
24,100041,0.0,0.31317192692465007
25,100043,0.0,0.40149726405707914
26,100044,0.0,0.15132695714191893
27,100046,0.0,0.15369662232777712
28,100048,0.0,0.2796081373182347
29,100049,1.0,0.7674164711493792
30,100053,0.0,0.3820832225098533
31,100054,0.0,0.15966537289922852
32,100055,1.0,0.6085921695819227
33,100056,0.0,0.4528679653752024
34,100057,0.0,0.1882852484963326
35,100058,1.0,0.5758760153990479
36,100059,1.0,0.8745727678303855
37,100061,1.0,0.7077127582505228
38,100063,0.0,0.2599982714474256
39,100064,0.0,0.2451816310569849
40,100065,1.0,0.5221978595809947
41,100067,0.0,0.25140088623675955
42,100069,0.0,0.4517976899006223
43,100071,1.0,0.7010309586670592
44,100073,0.0,0.24438799712299905
45,100077,1.0,0.5446815740224386
46,100079,0.0,0.25140088623675955
47,100081,1.0,0.581250424787603
48,100083,0.0,0.3057173005880126
49,100084,0.0,0.4177513807076107
50,100085,0.0,0.3609656348963463
51,100086,0.0,0.21279297836302227
52,100087,0.0,0.4177513807076107
53,100089,0.0,0.42338914860057936
54,100090,1.0,0.5890194579247051
55,100092,0.0,0.26170839267088186
56,100094,0.0,0.13264905870044985
57,100095,0.0,0.41559558354615267
58,100098,0.0,0.2635093258218272
59,100101,0.0,0.4455860139778805
60,100103,0.0,0.3522686627562348
61,100107,0.0,0.41314421069886753
62,100109,0.0,0.32330897772043743
